,lat,lon,radius,region
0,41.41817,-126.31618,121.2,Lower 48
1,38.68456,-125.14473,121.2,Lower 48
2,49.08258,-126.14968,121.2,Lower 48
3,46.30589,-124.84927,121.2,Lower 48
4,43.54037,-123.65333,121.2,Lower 48
5,40.77833,-122.55012,121.2,Lower 48
6,38.01318,-121.52949,121.2,Lower 48
7,35.23906,-120.58274,121.2,Lower 48
8,48.41924,-121.93421,121.2,Lower 48
9,45.61307,-120.82236,121.2,Lower 48
10,42.81912,-119.80001,121.2,Lower 48
11,40.02938,-118.85697,121.2,Lower 48
12,37.23701,-117.98452,121.2,Lower 48
13,34.4359,-117.17517,121.2,Lower 48
14,31.62049,-116.4224,121.2,Lower 48
15,50.48498,-118.82413,121.2,Lower 48
16,47.63372,-117.81232,121.2,Lower 48
17,44.80448,-116.88502,121.2,Lower 48
18,41.98752,-116.03223,121.2,Lower 48
19,39.17472,-115.24543,121.2,Lower 48
20,36.35908,-114.51735,121.2,Lower 48
21,33.53437,-113.84171,121.2,Lower 48
22,30.69486,-113.21313,121.2,Lower 48
23,49.59894,-114.61232,121.2,Lower 48
24,46.73124,-113.79589,121.2,Lower 48
25,43.88469,-113.04734,121.2,Lower 48
26,41.04963,-112.35862,121.2,Lower 48
27,38.21793,-111.7229,121.2,Lower 48
28,35.38257,-111.13434,121.2,Lower 48
29,32.53727,-110.58792,121.2,Lower 48
30,48.59547,-110.52366,121.2,Lower 48
31,45.71732,-109.89468,121.2,Lower 48
32,42.85852,-109.31758,121.2,Lower 48
33,40.00963,-108.78623,121.2,Lower 48
34,37.16268,-108.29543,121.2,Lower 48
35,34.3107,-107.84072,121.2,Lower 48
36,31.44741,-107.41829,121.2,Lower 48
37,50.39231,-107.06002,121.2,Lower 48
38,47.48106,-106.56726,121.2,Lower 48
39,44.59755,-106.11637,121.2,Lower 48
40,41.73081,-105.70226,121.2,Lower 48
41,38.87176,-105.32061,121.2,Lower 48
42,36.01266,-104.96777,121.2,Lower 48
43,33.14669,-104.64059,121.2,Lower 48
44,30.26761,-104.33639,121.2,Lower 48
45,49.17075,-103.05898,121.2,Lower 48
46,46.26218,-102.74984,121.2,Lower 48
47,43.37749,-102.4666,121.2,Lower 48
48,40.50635,-102.20615,121.2,Lower 48
49,37.64017,-101.96583,121.2,Lower 48
50,34.77149,-101.74342,121.2,Lower 48
51,31.89366,-101.53697,121.2,Lower 48
52,29.00056,-101.34484,121.2,Lower 48
53,47.84713,-99.21396,121.2,Lower 48
54,44.94506,-99.07586,121.2,Lower 48
55,42.06246,-98.94914,121.2,Lower 48
56,39.18977,-98.83244,121.2,Lower 48
57,36.31886,-98.72463,121.2,Lower 48
58,33.44261,-98.62471,121.2,Lower 48
59,30.55459,-98.53187,121.2,Lower 48
60,27.64879,-98.44537,121.2,Lower 48
61,24.71945,-98.36457,121.2,Lower 48
62,49.34637,-95.5062,121.2,Lower 48
63,46.42833,-95.52788,121.2,Lower 48
64,43.5356,-95.54776,121.2,Lower 48
65,40.65757,-95.56602,121.2,Lower 48
66,37.78544,-95.58288,121.2,Lower 48
67,34.91161,-95.59846,121.2,Lower 48
68,32.02929,-95.61293,121.2,Lower 48
69,29.13228,-95.62639,121.2,Lower 48
70,26.2147,-95.63896,121.2,Lower 48
71,47.82148,-91.82205,121.2,Lower 48
72,44.92073,-92.00148,121.2,Lower 48
73,42.03925,-92.16614,121.2,Lower 48
74,39.16752,-92.31779,121.2,Lower 48
75,36.29744,-92.4579,121.2,Lower 48
76,33.42192,-92.58774,121.2,Lower 48
77,30.53452,-92.70841,121.2,Lower 48
78,49.11814,-87.95961,121.2,Lower 48
79,46.21239,-88.31137,121.2,Lower 48
80,43.33008,-88.63369,121.2,Lower 48
81,40.461,-88.93013,121.2,Lower 48
82,37.5966,-89.20367,121.2,Lower 48
83,34.72946,-89.45686,121.2,Lower 48
84,31.85297,-89.69189,121.2,Lower 48
85,28.96103,-89.91064,121.2,Lower 48
86,47.4047,-84.48028,121.2,Lower 48
87,44.52502,-84.97108,121.2,Lower 48
88,41.66154,-85.42194,121.2,Lower 48
89,38.80532,-85.83752,121.2,Lower 48
90,35.94867,-86.2218,121.2,Lower 48
91,33.08482,-86.57816,121.2,Lower 48
92,30.20759,-86.90954,121.2,Lower 48
93,42.76454,-81.79676,121.2,Lower 48
94,39.91962,-82.36248,121.2,Lower 48
95,37.07611,-82.88514,121.2,Lower 48
96,34.22712,-83.36944,121.2,Lower 48
97,31.36644,-83.81944,121.2,Lower 48
98,28.48825,-84.23863,121.2,Lower 48
99,43.76527,-78.05968,121.2,Lower 48
100,40.93541,-78.78289,121.2,Lower 48
101,38.10821,-79.45062,121.2,Lower 48
102,35.27676,-80.06896,121.2,Lower 48
103,32.43487,-80.64315,121.2,Lower 48
104,29.57677,-81.1777,121.2,Lower 48
105,26.69701,-81.67657,121.2,Lower 48
106,23.79023,-82.14319,121.2,Lower 48
107,44.65898,-74.21753,121.2,Lower 48
108,41.84852,-75.10457,121.2,Lower 48
109,39.04134,-75.92323,121.2,Lower 48
110,36.23059,-76.68102,121.2,Lower 48
111,33.41013,-77.38439,121.2,Lower 48
112,27.71787,-78.64951,121.2,Lower 48
113,24.83552,-79.22036,121.2,Lower 48
114,48.23802,-69.13096,121.2,Lower 48
115,45.44098,-70.27887,121.2,Lower 48
116,42.65486,-71.33484,121.2,Lower 48
117,39.8719,-72.30926,121.2,Lower 48
118,46.10683,-66.25402,121.2,Lower 48
119,43.35049,-67.48252,121.2,Lower 48
120,40.59641,-68.61629,121.2,Lower 48
